Gene,Diplotype,Phenotype
CYP2B6,*2/*18,Intermediate Metabolizer
CYP2B6,*2/*19,Intermediate Metabolizer
CYP2B6,*2/*20,Intermediate Metabolizer
CYP2B6,*2/*21,Indeterminate
CYP2B6,*2/*22,Rapid Metabolizer
CYP2B6,*2/*23,Indeterminate
CYP2B6,*2/*24,Intermediate Metabolizer
CYP2B6,*2/*25,Indeterminate
CYP2B6,*2/*26,Intermediate Metabolizer
CYP2B6,*2/*27,Indeterminate
CYP2B6,*2/*28,Intermediate Metabolizer
CYP2B6,*2/*29,Intermediate Metabolizer
CYP2B6,*2/*30,Intermediate Metabolizer
CYP2B6,*2/*31,Normal Metabolizer
CYP2B6,*2/*32,Normal Metabolizer
CYP2B6,*2/*33,Indeterminate
CYP2B6,*2/*34,Intermediate Metabolizer
CYP2B6,*2/*35,Intermediate Metabolizer
CYP2B6,*2/*36,Intermediate Metabolizer
CYP2B6,*2/*37,Intermediate Metabolizer
CYP2B6,*2/*38,Intermediate Metabolizer
CYP2B6,*3/*3,Indeterminate
CYP2B6,*3/*4,Indeterminate
CYP2B6,*3/*5,Indeterminate
CYP2B6,*3/*6,Indeterminate
CYP2B6,*3/*7,Indeterminate
CYP2B6,*3/*8,Indeterminate
CYP2B6,*3/*9,Indeterminate
CYP2B6,*3/*10,Indeterminate
CYP2B6,*3/*11,Indeterminate
CYP2B6,*3/*12,Indeterminate
CYP2B6,*3/*13,Indeterminate
CYP2B6,*3/*14,Indeterminate
CYP2B6,*3/*15,Indeterminate
CYP2B6,*3/*17,Indeterminate
CYP2B6,*3/*18,Indeterminate
CYP2B6,*3/*19,Indeterminate
CYP2B6,*3/*20,Indeterminate
CYP2B6,*3/*21,Indeterminate
CYP2B6,*3/*22,Indeterminate
CYP2B6,*3/*23,Indeterminate
CYP2B6,*3/*24,Indeterminate
CYP2B6,*3/*25,Indeterminate
CYP2B6,*3/*26,Indeterminate
CYP2B6,*3/*27,Indeterminate
CYP2B6,*3/*28,Indeterminate
CYP2B6,*3/*29,Indeterminate
CYP2B6,*3/*30,Indeterminate
CYP2B6,*3/*31,Indeterminate
CYP2B6,*3/*32,Indeterminate
CYP2B6,*3/*33,Indeterminate
CYP2B6,*3/*34,Indeterminate
CYP2B6,*3/*35,Indeterminate
CYP2B6,*3/*36,Indeterminate
CYP2B6,*3/*37,Indeterminate
CYP2B6,*3/*38,Indeterminate
CYP2B6,*4/*4,Ultrarapid Metabolizer
CYP2B6,*4/*5,Rapid Metabolizer
CYP2B6,*4/*6,Intermediate Metabolizer
CYP2B6,*4/*7,Intermediate Metabolizer
CYP2B6,*4/*8,Intermediate Metabolizer
CYP2B6,*4/*9,Intermediate Metabolizer
CYP2B6,*4/*10,Indeterminate
CYP2B6,*4/*11,Indeterminate
CYP2B6,*4/*12,Intermediate Metabolizer
CYP2B6,*4/*13,Intermediate Metabolizer
CYP2B6,*4/*14,Indeterminate
CYP2B6,*4/*15,Indeterminate
CYP2B6,*4/*17,Rapid Metabolizer
CYP2B6,*4/*18,Intermediate Metabolizer
CYP2B6,*4/*19,Intermediate Metabolizer
CYP2B6,*4/*20,Intermediate Metabolizer
CYP2B6,*4/*21,Indeterminate
CYP2B6,*4/*22,Ultrarapid Metabolizer
CYP2B6,*4/*23,Indeterminate
CYP2B6,*4/*24,Intermediate Metabolizer
CYP2B6,*4/*25,Indeterminate
CYP2B6,*4/*26,Intermediate Metabolizer
CYP2B6,*4/*27,Indeterminate
CYP2B6,*4/*28,Intermediate Metabolizer
CYP2B6,*4/*29,Intermediate Metabolizer
CYP2B6,*4/*30,Intermediate Metabolizer
CYP2B6,*4/*31,Rapid Metabolizer
CYP2B6,*4/*32,Rapid Metabolizer
CYP2B6,*4/*33,Indeterminate
CYP2B6,*4/*34,Intermediate Metabolizer
CYP2B6,*4/*35,Intermediate Metabolizer
CYP2B6,*4/*36,Intermediate Metabolizer
CYP2B6,*4/*37,Intermediate Metabolizer
CYP2B6,*4/*38,Intermediate Metabolizer
CYP2B6,*5/*5,Normal Metabolizer
CYP2B6,*5/*6,Intermediate Metabolizer
CYP2B6,*5/*7,Intermediate Metabolizer
CYP2B6,*5/*8,Intermediate Metabolizer
CYP2B6,*5/*9,Intermediate Metabolizer
CYP2B6,*5/*10,Indeterminate
CYP2B6,*5/*11,Indeterminate
CYP2B6,*5/*12,Intermediate Metabolizer
CYP2B6,*5/*13,Intermediate Metabolizer
CYP2B6,*5/*14,Indeterminate
CYP2B6,*5/*15,Indeterminate
CYP2B6,*5/*17,Normal Metabolizer
CYP2B6,*5/*18,Intermediate Metabolizer
CYP2B6,*5/*19,Intermediate Metabolizer
CYP2B6,*5/*20,Intermediate Metabolizer
CYP2B6,*5/*21,Indeterminate
CYP2B6,*5/*22,Rapid Metabolizer
CYP2B6,*5/*23,Indeterminate
CYP2B6,*5/*24,Intermediate Metabolizer
CYP2B6,*5/*25,Indeterminate
CYP2B6,*5/*26,Intermediate Metabolizer
CYP2B6,*5/*27,Indeterminate
CYP2B6,*5/*28,Intermediate Metabolizer
CYP2B6,*5/*29,Intermediate Metabolizer
CYP2B6,*5/*30,Intermediate Metabolizer
CYP2B6,*5/*31,Normal Metabolizer
CYP2B6,*5/*32,Normal Metabolizer
CYP2B6,*5/*33,Indeterminate
CYP2B6,*5/*34,Intermediate Metabolizer
CYP2B6,*5/*35,Intermediate Metabolizer
CYP2B6,*5/*36,Intermediate Metabolizer
CYP2B6,*5/*37,Intermediate Metabolizer
CYP2B6,*5/*38,Intermediate Metabolizer
CYP2B6,*6/*6,Poor Metabolizer
CYP2B6,*6/*7,Poor Metabolizer
CYP2B6,*6/*8,Poor Metabolizer
CYP2B6,*6/*9,Poor Metabolizer
CYP2B6,*6/*10,Indeterminate
CYP2B6,*6/*11,Indeterminate
CYP2B6,*6/*12,Poor Metabolizer
CYP2B6,*6/*13,Poor Metabolizer
CYP2B6,*6/*14,Indeterminate
CYP2B6,*6/*15,Indeterminate
CYP2B6,*6/*17,Intermediate Metabolizer
CYP2B6,*6/*18,Poor Metabolizer
CYP2B6,*6/*19,Poor Metabolizer
CYP2B6,*6/*20,Poor Metabolizer
CYP2B6,*6/*21,Indeterminate
CYP2B6,*6/*22,Intermediate Metabolizer
CYP2B6,*6/*23,Indeterminate
CYP2B6,*6/*24,Poor Metabolizer
CYP2B6,*6/*25,Indeterminate
CYP2B6,*6/*26,Poor Metabolizer
CYP2B6,*6/*27,Indeterminate
CYP2B6,*6/*28,Poor Metabolizer
CYP2B6,*6/*29,Poor Metabolizer
CYP2B6,*6/*30,Poor Metabolizer
CYP2B6,*6/*31,Intermediate Metabolizer
CYP2B6,*6/*32,Intermediate Metabolizer
CYP2B6,*6/*33,Indeterminate
CYP2B6,*6/*34,Poor Metabolizer
CYP2B6,*6/*35,Poor Metabolizer
CYP2B6,*6/*36,Poor Metabolizer
CYP2B6,*6/*37,Poor Metabolizer
CYP2B6,*6/*38,Poor Metabolizer
CYP2B6,*7/*7,Poor Metabolizer
CYP2B6,*7/*8,Poor Metabolizer
CYP2B6,*7/*9,Poor Metabolizer
CYP2B6,*7/*10,Indeterminate
CYP2B6,*7/*11,Indeterminate
CYP2B6,*7/*12,Poor Metabolizer
CYP2B6,*7/*13,Poor Metabolizer
CYP2B6,*7/*14,Indeterminate
CYP2B6,*7/*15,Indeterminate
CYP2B6,*7/*17,Intermediate Metabolizer
CYP2B6,*7/*18,Poor Metabolizer
CYP2B6,*7/*19,Poor Metabolizer
CYP2B6,*7/*20,Poor Metabolizer
CYP2B6,*7/*21,Indeterminate
CYP2B6,*7/*22,Intermediate Metabolizer
CYP2B6,*7/*23,Indeterminate
CYP2B6,*7/*24,Poor Metabolizer
CYP2B6,*7/*25,Indeterminate
CYP2B6,*7/*26,Poor Metabolizer
CYP2B6,*7/*27,Indeterminate
CYP2B6,*7/*28,Poor Metabolizer
CYP2B6,*7/*29,Poor Metabolizer
CYP2B6,*7/*30,Poor Metabolizer
CYP2B6,*7/*31,Intermediate Metabolizer
CYP2B6,*7/*32,Intermediate Metabolizer
CYP2B6,*7/*33,Indeterminate
CYP2B6,*7/*34,Poor Metabolizer
CYP2B6,*7/*35,Poor Metabolizer
CYP2B6,*7/*36,Poor Metabolizer
CYP2B6,*7/*37,Poor Metabolizer
CYP2B6,*7/*38,Poor Metabolizer
CYP2B6,*8/*8,Poor Metabolizer
CYP2B6,*8/*9,Poor Metabolizer
CYP2B6,*8/*10,Indeterminate
CYP2B6,*8/*11,Indeterminate
CYP2B6,*8/*12,Poor Metabolizer
CYP2B6,*8/*13,Poor Metabolizer
CYP2B6,*8/*14,Indeterminate
CYP2B6,*8/*15,Indeterminate
CYP2B6,*8/*17,Intermediate Metabolizer
CYP2B6,*8/*18,Poor Metabolizer
CYP2B6,*8/*19,Poor Metabolizer
CYP2B6,*8/*20,Poor Metabolizer
CYP2B6,*8/*21,Indeterminate
CYP2B6,*8/*22,Intermediate Metabolizer
CYP2B6,*8/*23,Indeterminate
CYP2B6,*8/*24,Poor Metabolizer
CYP2B6,*8/*25,Indeterminate
CYP2B6,*8/*26,Poor Metabolizer
CYP2B6,*8/*27,Indeterminate
CYP2B6,*8/*28,Poor Metabolizer
CYP2B6,*8/*29,Poor Metabolizer
CYP2B6,*8/*30,Poor Metabolizer
CYP2B6,*8/*31,Intermediate Metabolizer
CYP2B6,*8/*32,Intermediate Metabolizer
CYP2B6,*8/*33,Indeterminate
CYP2B6,*8/*34,Poor Metabolizer
CYP2B6,*8/*35,Poor Metabolizer
CYP2B6,*8/*36,Poor Metabolizer
CYP2B6,*8/*37,Poor Metabolizer
CYP2B6,*8/*38,Poor Metabolizer
CYP2B6,*9/*9,Poor Metabolizer
CYP2B6,*9/*10,Indeterminate
CYP2B6,*9/*11,Indeterminate
CYP2B6,*9/*12,Poor Metabolizer
CYP2B6,*9/*13,Poor Metabolizer
CYP2B6,*9/*14,Indeterminate
CYP2B6,*9/*15,Indeterminate
CYP2B6,*9/*17,Intermediate Metabolizer
CYP2B6,*9/*18,Poor Metabolizer
CYP2B6,*9/*19,Poor Metabolizer
CYP2B6,*9/*20,Poor Metabolizer
CYP2B6,*9/*21,Indeterminate
CYP2B6,*9/*22,Intermediate Metabolizer
CYP2B6,*9/*23,Indeterminate
CYP2B6,*9/*24,Poor Metabolizer
CYP2B6,*9/*25,Indeterminate
CYP2B6,*9/*26,Poor Metabolizer
CYP2B6,*9/*27,Indeterminate
CYP2B6,*9/*28,Poor Metabolizer
CYP2B6,*9/*29,Poor Metabolizer
CYP2B6,*9/*30,Poor Metabolizer
CYP2B6,*9/*31,Intermediate Metabolizer
CYP2B6,*9/*32,Intermediate Metabolizer
CYP2B6,*9/*33,Indeterminate
CYP2B6,*9/*34,Poor Metabolizer
CYP2B6,*9/*35,Poor Metabolizer
CYP2B6,*9/*36,Poor Metabolizer
CYP2B6,*9/*37,Poor Metabolizer
CYP2B6,*9/*38,Poor Metabolizer
CYP2B6,*10/*10,Indeterminate
CYP2B6,*10/*11,Indeterminate
CYP2B6,*10/*12,Indeterminate
CYP2B6,*10/*13,Indeterminate
CYP2B6,*10/*14,Indeterminate
CYP2B6,*10/*15,Indeterminate
CYP2B6,*10/*17,Indeterminate
CYP2B6,*10/*18,Indeterminate
CYP2B6,*10/*19,Indeterminate
CYP2B6,*10/*20,Indeterminate
CYP2B6,*10/*21,Indeterminate
CYP2B6,*10/*22,Indeterminate
CYP2B6,*10/*23,Indeterminate
CYP2B6,*10/*24,Indeterminate
CYP2B6,*10/*25,Indeterminate
CYP2B6,*10/*26,Indeterminate
CYP2B6,*10/*27,Indeterminate
CYP2B6,*10/*28,Indeterminate
CYP2B6,*10/*29,Indeterminate
CYP2B6,*10/*30,Indeterminate
CYP2B6,*10/*31,Indeterminate
CYP2B6,*10/*32,Indeterminate
CYP2B6,*10/*33,Indeterminate
CYP2B6,*10/*34,Indeterminate
CYP2B6,*10/*35,Indeterminate
CYP2B6,*10/*36,Indeterminate
CYP2B6,*10/*37,Indeterminate
CYP2B6,*10/*38,Indeterminate
CYP2B6,*11/*11,Indeterminate
CYP2B6,*11/*12,Indeterminate
CYP2B6,*11/*13,Indeterminate
CYP2B6,*11/*14,Indeterminate
CYP2B6,*11/*15,Indeterminate
CYP2B6,*11/*17,Indeterminate
CYP2B6,*11/*18,Indeterminate
CYP2B6,*11/*19,Indeterminate
CYP2B6,*11/*20,Indeterminate
CYP2B6,*11/*21,Indeterminate
CYP2B6,*11/*22,Indeterminate
CYP2B6,*11/*23,Indeterminate
CYP2B6,*11/*24,Indeterminate
CYP2B6,*11/*25,Indeterminate
CYP2B6,*11/*26,Indeterminate
CYP2B6,*11/*27,Indeterminate
CYP2B6,*11/*28,Indeterminate
CYP2B6,*11/*29,Indeterminate
CYP2B6,*11/*30,Indeterminate
CYP2B6,*11/*31,Indeterminate
CYP2B6,*11/*32,Indeterminate
CYP2B6,*11/*33,Indeterminate
CYP2B6,*11/*34,Indeterminate
CYP2B6,*11/*35,Indeterminate
CYP2B6,*11/*36,Indeterminate
CYP2B6,*11/*37,Indeterminate
CYP2B6,*11/*38,Indeterminate
CYP2B6,*12/*12,Poor Metabolizer
CYP2B6,*12/*13,Poor Metabolizer
CYP2B6,*12/*14,Indeterminate
CYP2B6,*12/*15,Indeterminate
CYP2B6,*12/*17,Intermediate Metabolizer
CYP2B6,*12/*18,Poor Metabolizer
CYP2B6,*12/*19,Poor Metabolizer
CYP2B6,*12/*20,Poor Metabolizer
CYP2B6,*12/*21,Indeterminate
CYP2B6,*12/*22,Intermediate Metabolizer
CYP2B6,*12/*23,Indeterminate
CYP2B6,*12/*24,Poor Metabolizer
CYP2B6,*12/*25,Indeterminate
CYP2B6,*12/*26,Poor Metabolizer
CYP2B6,*12/*27,Indeterminate
CYP2B6,*12/*28,Poor Metabolizer
CYP2B6,*12/*29,Poor Metabolizer
CYP2B6,*12/*30,Poor Metabolizer
CYP2B6,*12/*31,Intermediate Metabolizer
CYP2B6,*12/*32,Intermediate Metabolizer
CYP2B6,*12/*33,Indeterminate
CYP2B6,*12/*34,Poor Metabolizer
CYP2B6,*12/*35,Poor Metabolizer
CYP2B6,*12/*36,Poor Metabolizer
CYP2B6,*12/*37,Poor Metabolizer
CYP2B6,*12/*38,Poor Metabolizer
CYP2B6,*13/*13,Poor Metabolizer
CYP2B6,*13/*14,Indeterminate
CYP2B6,*13/*15,Indeterminate
CYP2B6,*13/*17,Intermediate Metabolizer
CYP2B6,*13/*18,Poor Metabolizer
CYP2B6,*13/*19,Poor Metabolizer
CYP2B6,*13/*20,Poor Metabolizer
CYP2B6,*13/*21,Indeterminate
CYP2B6,*13/*22,Intermediate Metabolizer
CYP2B6,*13/*23,Indeterminate
CYP2B6,*13/*24,Poor Metabolizer
CYP2B6,*13/*25,Indeterminate
CYP2B6,*13/*26,Poor Metabolizer
CYP2B6,*13/*27,Indeterminate
CYP2B6,*13/*28,Poor Metabolizer
CYP2B6,*13/*29,Poor Metabolizer
CYP2B6,*13/*30,Poor Metabolizer
CYP2B6,*13/*31,Intermediate Metabolizer
CYP2B6,*13/*32,Intermediate Metabolizer
CYP2B6,*13/*33,Indeterminate
CYP2B6,*13/*34,Poor Metabolizer
CYP2B6,*13/*35,Poor Metabolizer
CYP2B6,*13/*36,Poor Metabolizer
CYP2B6,*13/*37,Poor Metabolizer
CYP2B6,*13/*38,Poor Metabolizer
CYP2B6,*14/*14,Indeterminate
CYP2B6,*14/*15,Indeterminate
CYP2B6,*14/*17,Indeterminate
CYP2B6,*14/*18,Indeterminate
CYP2B6,*14/*19,Indeterminate
CYP2B6,*14/*20,Indeterminate
CYP2B6,*14/*21,Indeterminate
CYP2B6,*14/*22,Indeterminate
CYP2B6,*14/*23,Indeterminate
CYP2B6,*14/*24,Indeterminate
CYP2B6,*14/*25,Indeterminate
CYP2B6,*14/*26,Indeterminate
CYP2B6,*14/*27,Indeterminate
CYP2B6,*14/*28,Indeterminate
CYP2B6,*14/*29,Indeterminate
CYP2B6,*14/*30,Indeterminate
CYP2B6,*14/*31,Indeterminate
CYP2B6,*14/*32,Indeterminate
CYP2B6,*14/*33,Indeterminate
CYP2B6,*14/*34,Indeterminate
CYP2B6,*14/*35,Indeterminate
CYP2B6,*14/*36,Indeterminate
CYP2B6,*14/*37,Indeterminate
CYP2B6,*14/*38,Indeterminate
CYP2B6,*15/*15c,Indeterminate
CYP2B6,*15/*17,Indeterminate
CYP2B6,*15/*18,Indeterminate
CYP2B6,*15/*19,Indeterminate
CYP2B6,*15/*20,Indeterminate
CYP2B6,*15/*21,Indeterminate
CYP2B6,*15/*22,Indeterminate
CYP2B6,*15/*23,Indeterminate
CYP2B6,*15/*24,Indeterminate
CYP2B6,*15/*25,Indeterminate
CYP2B6,*15/*26,Indeterminate
CYP2B6,*15/*27,Indeterminate
CYP2B6,*15/*28,Indeterminate
CYP2B6,*15/*29,Indeterminate
CYP2B6,*15/*30,Indeterminate
CYP2B6,*15/*31,Indeterminate
CYP2B6,*15/*32,Indeterminate
CYP2B6,*15/*33,Indeterminate
CYP2B6,*15/*34,Indeterminate
CYP2B6,*15/*35,Indeterminate
CYP2B6,*15/*36,Indeterminate
CYP2B6,*15/*37,Indeterminate
CYP2B6,*15/*38,Indeterminate
CYP2B6,*17/*17,Normal Metabolizer
CYP2B6,*17/*18,Intermediate Metabolizer
CYP2B6,*17/*19,Intermediate Metabolizer
CYP2B6,*17/*20,Intermediate Metabolizer
CYP2B6,*17/*21,Indeterminate
CYP2B6,*17/*22,Rapid Metabolizer
CYP2B6,*17/*23,Indeterminate
CYP2B6,*17/*24,Intermediate Metabolizer
CYP2B6,*17/*25,Indeterminate
CYP2B6,*17/*26,Intermediate Metabolizer
CYP2B6,*17/*27,Indeterminate
CYP2B6,*17/*28,Intermediate Metabolizer
CYP2B6,*17/*29,Intermediate Metabolizer
CYP2B6,*17/*30,Intermediate Metabolizer
CYP2B6,*17/*31,Normal Metabolizer
CYP2B6,*17/*32,Normal Metabolizer
CYP2B6,*17/*33,Indeterminate
CYP2B6,*17/*34,Intermediate Metabolizer
CYP2B6,*17/*35,Intermediate Metabolizer
CYP2B6,*17/*36,Intermediate Metabolizer
CYP2B6,*17/*37,Intermediate Metabolizer
CYP2B6,*17/*38,Intermediate Metabolizer
CYP2B6,*18/*18,Poor Metabolizer
CYP2B6,*18/*19,Poor Metabolizer
CYP2B6,*18/*20,Poor Metabolizer
CYP2B6,*18/*21,Indeterminate
CYP2B6,*18/*22,Intermediate Metabolizer
CYP2B6,*18/*23,Indeterminate
CYP2B6,*18/*24,Poor Metabolizer
CYP2B6,*18/*25,Indeterminate
CYP2B6,*18/*26,Poor Metabolizer
CYP2B6,*18/*27,Indeterminate
CYP2B6,*18/*28,Poor Metabolizer
CYP2B6,*18/*29,Poor Metabolizer
CYP2B6,*18/*30,Poor Metabolizer
CYP2B6,*18/*31,Intermediate Metabolizer
CYP2B6,*18/*32,Intermediate Metabolizer
CYP2B6,*18/*33,Indeterminate
CYP2B6,*18/*34,Poor Metabolizer
CYP2B6,*18/*35,Poor Metabolizer
CYP2B6,*18/*36,Poor Metabolizer
CYP2B6,*18/*37,Poor Metabolizer
CYP2B6,*18/*38,Poor Metabolizer
CYP2B6,*19/*19,Poor Metabolizer
CYP2B6,*19/*20,Poor Metabolizer
CYP2B6,*19/*21,Indeterminate
CYP2B6,*19/*22,Intermediate Metabolizer
CYP2B6,*19/*23,Indeterminate
CYP2B6,*19/*24,Poor Metabolizer
CYP2B6,*19/*25,Indeterminate
CYP2B6,*19/*26,Poor Metabolizer
CYP2B6,*19/*27,Indeterminate
CYP2B6,*19/*28,Poor Metabolizer
CYP2B6,*19/*29,Poor Metabolizer
CYP2B6,*19/*30,Poor Metabolizer
CYP2B6,*19/*31,Intermediate Metabolizer
CYP2B6,*19/*32,Intermediate Metabolizer
CYP2B6,*19/*33,Indeterminate
CYP2B6,*19/*34,Poor Metabolizer
CYP2B6,*19/*35,Poor Metabolizer
CYP2B6,*19/*36,Poor Metabolizer
CYP2B6,*19/*37,Poor Metabolizer
CYP2B6,*19/*38,Poor Metabolizer
CYP2B6,*20/*20,Poor Metabolizer
CYP2B6,*20/*21,Indeterminate
CYP2B6,*20/*22,Intermediate Metabolizer
CYP2B6,*20/*23,Indeterminate
CYP2B6,*20/*24,Poor Metabolizer
CYP2B6,*20/*25,Indeterminate
CYP2B6,*20/*26,Poor Metabolizer
CYP2B6,*20/*27,Indeterminate
CYP2B6,*20/*28,Poor Metabolizer
CYP2B6,*20/*29,Poor Metabolizer
CYP2B6,*20/*30,Poor Metabolizer
CYP2B6,*20/*31,Intermediate Metabolizer
CYP2B6,*20/*32,Intermediate Metabolizer
CYP2B6,*20/*33,Indeterminate
CYP2B6,*20/*34,Poor Metabolizer
CYP2B6,*20/*35,Poor Metabolizer
CYP2B6,*20/*36,Poor Metabolizer
CYP2B6,*20/*37,Poor Metabolizer
CYP2B6,*20/*38,Poor Metabolizer
CYP2B6,*21/*21,Indeterminate
CYP2B6,*21/*22,Indeterminate
CYP2B6,*21/*23,Indeterminate
CYP2B6,*21/*24,Indeterminate
CYP2B6,*21/*25,Indeterminate
CYP2B6,*21/*26,Indeterminate
CYP2B6,*21/*27,Indeterminate
CYP2B6,*21/*28,Indeterminate
CYP2B6,*21/*29,Indeterminate
CYP2B6,*21/*30,Indeterminate
CYP2B6,*21/*31,Indeterminate
CYP2B6,*21/*32,Indeterminate
CYP2B6,*21/*33,Indeterminate
CYP2B6,*21/*34,Indeterminate
CYP2B6,*21/*35,Indeterminate
CYP2B6,*21/*36,Indeterminate
CYP2B6,*21/*37,Indeterminate
CYP2B6,*21/*38,Indeterminate
CYP2B6,*22/*22,Ultrarapid Metabolizer
CYP2B6,*22/*23,Indeterminate
CYP2B6,*22/*24,Intermediate Metabolizer
CYP2B6,*22/*25,Indeterminate
CYP2B6,*22/*26,Intermediate Metabolizer
CYP2B6,*22/*27,Indeterminate
CYP2B6,*22/*28,Intermediate Metabolizer
CYP2B6,*22/*29,Intermediate Metabolizer
CYP2B6,*22/*30,Intermediate Metabolizer
CYP2B6,*22/*31,Rapid Metabolizer
CYP2B6,*22/*32,Rapid Metabolizer
CYP2B6,*22/*33,Indeterminate
CYP2B6,*22/*34,Intermediate Metabolizer
CYP2B6,*22/*35,Intermediate Metabolizer
CYP2B6,*22/*36,Intermediate Metabolizer
CYP2B6,*22/*37,Intermediate Metabolizer
CYP2B6,*22/*38,Intermediate Metabolizer
CYP2B6,*23/*23,Indeterminate
CYP2B6,*23/*24,Indeterminate
CYP2B6,*23/*25,Indeterminate
CYP2B6,*23/*26,Indeterminate
CYP2B6,*23/*27,Indeterminate
CYP2B6,*23/*28,Indeterminate
CYP2B6,*23/*29,Indeterminate
CYP2B6,*23/*30,Indeterminate
CYP2B6,*23/*31,Indeterminate
CYP2B6,*23/*32,Indeterminate
CYP2B6,*23/*33,Indeterminate
CYP2B6,*23/*34,Indeterminate
CYP2B6,*23/*35,Indeterminate
CYP2B6,*23/*36,Indeterminate
CYP2B6,*23/*37,Indeterminate
CYP2B6,*23/*38,Indeterminate
CYP2B6,*24/*24,Poor Metabolizer
CYP2B6,*24/*25,Indeterminate
CYP2B6,*24/*26,Poor Metabolizer
CYP2B6,*24/*27,Indeterminate
CYP2B6,*24/*28,Poor Metabolizer
CYP2B6,*24/*29,Poor Metabolizer
CYP2B6,*24/*30,Poor Metabolizer
CYP2B6,*24/*31,Intermediate Metabolizer
CYP2B6,*24/*32,Intermediate Metabolizer
CYP2B6,*24/*33,Indeterminate
CYP2B6,*24/*34,Poor Metabolizer
CYP2B6,*24/*35,Poor Metabolizer
CYP2B6,*24/*36,Poor Metabolizer
CYP2B6,*24/*37,Poor Metabolizer
CYP2B6,*24/*38,Poor Metabolizer
CYP2B6,*25/*25,Indeterminate
CYP2B6,*25/*26,Indeterminate
CYP2B6,*25/*27,Indeterminate
CYP2B6,*25/*28,Indeterminate
CYP2B6,*25/*29,Indeterminate
CYP2B6,*25/*30,Indeterminate
CYP2B6,*25/*31,Indeterminate
CYP2B6,*25/*32,Indeterminate
CYP2B6,*25/*33,Indeterminate
CYP2B6,*25/*34,Indeterminate
CYP2B6,*25/*35,Indeterminate
CYP2B6,*25/*36,Indeterminate
CYP2B6,*25/*37,Indeterminate
CYP2B6,*25/*38,Indeterminate
CYP2B6,*26/*26,Poor Metabolizer
CYP2B6,*26/*27,Indeterminate
CYP2B6,*26/*28,Poor Metabolizer
CYP2B6,*26/*29,Poor Metabolizer
CYP2B6,*26/*30,Poor Metabolizer
CYP2B6,*26/*31,Intermediate Metabolizer
CYP2B6,*26/*32,Intermediate Metabolizer
CYP2B6,*26/*33,Indeterminate
CYP2B6,*26/*34,Poor Metabolizer
CYP2B6,*26/*35,Poor Metabolizer
CYP2B6,*26/*36,Poor Metabolizer
CYP2B6,*26/*37,Poor Metabolizer
CYP2B6,*26/*38,Poor Metabolizer
CYP2B6,*27/*27,Indeterminate
CYP2B6,*27/*28,Indeterminate
CYP2B6,*27/*29,Indeterminate
CYP2B6,*27/*30,Indeterminate
CYP2B6,*27/*31,Indeterminate
CYP2B6,*27/*32,Indeterminate
CYP2B6,*27/*33,Indeterminate
CYP2B6,*27/*34,Indeterminate
CYP2B6,*27/*35,Indeterminate
CYP2B6,*27/*36,Indeterminate
