chemical	gene	url	type	summary	phenotype	recommendation
amitriptyline	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2D6 Normal metabolizer (~72-88% of patients)	Therapeutic Recommendations: Initiate therapy with recommended starting dose. Classification of recommendation for amitriptyline and nortriptyline: Strong
amitriptyline	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2D6 Intermediate metabolizer (~1-13% of patients)	Therapeutic Recommendations: Consider 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendation for amitriptyline and nortriptyline: Moderate
amitriptyline	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2D6 Poor metabolizer (~1-10% of patients)	Therapeutic Recommendations: Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6.If a TCA is warranted, consider 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendation for amitriptyline and nortriptyline: Strong
atazanavir	UGT1A1	https://pharmgkb.org/guidelineAnnotation/PA166128738	case1	The CPIC dosing guideline recommends considering advising individuals who carry two decreased function UGT1A1 alleles about a substantial likelihood of developing jaundice, which may cause non-adherence. The dosing guideline recommends that alternative agents be considered if the risk of non-adherence due to jaundice is high. The risk of discontinuation is low and very low for individuals carrying one, or no decreased function UGT1A1 alleles, respectively.	Extensive Metabolizer	Recommendations for atazanavir therapy: There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Classification of recommendation for atazanavir therapy: Strong
atazanavir	UGT1A1	https://pharmgkb.org/guidelineAnnotation/PA166128738	case1	The CPIC dosing guideline recommends considering advising individuals who carry two decreased function UGT1A1 alleles about a substantial likelihood of developing jaundice, which may cause non-adherence. The dosing guideline recommends that alternative agents be considered if the risk of non-adherence due to jaundice is high. The risk of discontinuation is low and very low for individuals carrying one, or no decreased function UGT1A1 alleles, respectively.	Intermediate Metabolizer	Recommendations for atazanavir therapy: There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient’s genotype makes this unlikely Classification of recommendation for atazanavir therapy: Strong
atazanavir	UGT1A1	https://pharmgkb.org/guidelineAnnotation/PA166128738	case1	The CPIC dosing guideline recommends considering advising individuals who carry two decreased function UGT1A1 alleles about a substantial likelihood of developing jaundice, which may cause non-adherence. The dosing guideline recommends that alternative agents be considered if the risk of non-adherence due to jaundice is high. The risk of discontinuation is low and very low for individuals carrying one, or no decreased function UGT1A1 alleles, respectively.	Poor Metabolizer	Recommendations for atazanavir therapy: Consider an alternative agent particularly where jaundice would be of concern to the patient. Classification of recommendation for atazanavir therapy: Strong
atomoxetine	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166181885	case7	The CPIC Dosing Guideline for atomoxetine provides therapeutic recommendations for CYP2D6 ultrarapid, normal, intermediate, and poor metabolizer, which includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if no clinical response and in the absence of adverse events after 2 weeks of therapy.	CYP2D6 Ultrarapid Metabolizer	Therapeutic recommendations: Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/ml, consider a proportional increase in dose to approach 400 ng/ml. Dosages greater than 100 mg/day may be needed to achieve target concentrations. Classification of recommendations: Moderate
atomoxetine	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166181885	case7	The CPIC Dosing Guideline for atomoxetine provides therapeutic recommendations for CYP2D6 ultrarapid, normal, intermediate, and poor metabolizer, which includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if no clinical response and in the absence of adverse events after 2 weeks of therapy.	CYP2D6 Normal metabolizer	Therapeutic recommendations: Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/ml, consider a proportional increase in dose to approach 400 ng/ml. Dosages greater than 100 mg/day may be needed to achieve target concentrations. Classification of recommendations: Moderate
atomoxetine	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166181885	case7	The CPIC Dosing Guideline for atomoxetine provides therapeutic recommendations for CYP2D6 ultrarapid, normal, intermediate, and poor metabolizer, which includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if no clinical response and in the absence of adverse events after 2 weeks of therapy.	CYP2D6 Normal metabolizer or Intermediate metabolizer (controversy remains)	Therapeutic recommendations: Initiate with a dose of 40 mg/day and if no clinical response and in the absence of adverse events after 2 weeks increase dose to 80 mg/day. If response is inadequate after 2 weeks consider obtaining a plasma concentration 2-4 h after dosing. If concentration is <200 ng/ml, consider a proportional dose increase to achieve a concentration to approach 400 ng/ml. If unacceptable side effects are present at any time, consider a reduction in dose. Classification of recommendations: Moderate
atomoxetine	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166181885	case7	The CPIC Dosing Guideline for atomoxetine provides therapeutic recommendations for CYP2D6 ultrarapid, normal, intermediate, and poor metabolizer, which includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if no clinical response and in the absence of adverse events after 2 weeks of therapy.	CYP2D6 Intermediate metabolizer	Therapeutic recommendations: Initiate with a dose of 40 mg/day and if no clinical response and in the absence of adverse events after 2 weeks increase dose to 80 mg/day. If response is inadequate after 2 weeks consider obtaining a plasma concentration 2-4 h after dosing. If concentration is <200 ng/ml, consider a proportional dose increase to achieve a concentration to approach 400 ng/ml. If unacceptable side effects are present at any time, consider a reduction in dose. Classification of recommendations: Moderate
atomoxetine	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166181885	case7	The CPIC Dosing Guideline for atomoxetine provides therapeutic recommendations for CYP2D6 ultrarapid, normal, intermediate, and poor metabolizer, which includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if no clinical response and in the absence of adverse events after 2 weeks of therapy.	CYP2D6 Poor metabolizer	Therapeutic recommendations: Initiate with a dose of 40 mg/day and if no clinical response and in the absence of adverse events after 2 weeks increase dose to 80 mg/day. If response is inadequate after 2 weeks consider obtaining a plasma concentration 2-4 h after dosing. If concentration is <200 ng/ml, consider a proportional dose increase to achieve a concentration to approach 400 ng/ml. If unacceptable side effects are present at any time, consider a reduction in dose. Classification of recommendations: Moderate
azathioprine	NUDT15	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Normal Metabolizer	Dosing recommendations: Start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady state after each dose adjustment. Classification of recommendations: Strong
azathioprine	NUDT15	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Intermediate Metabolizer	Dosing recommendations: Start with reduced starting doses (30-80% of normal dose) if normal starting dose is 2-3 mg/kg/day, (e.g. 0.6-2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	NUDT15	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Possible Intermediate Metabolizer	Dosing recommendations: Start with reduced starting doses (30-80% of normal dose) if normal starting dose is 2-3 mg/kg/day, (e.g. 0.6-2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	NUDT15	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Poor Metabolizer	Dosing recommendations: For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	NUDT15	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Indeterminate	Dosing recommendations: None Classification of recommendations: None
azathioprine	TPMT	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Normal Metabolizer	Dosing recommendations: Start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady state after each dose adjustment. Classification of recommendations: Strong
azathioprine	TPMT	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Intermediate Metabolizer	Dosing recommendations: Start with reduced starting doses (30-80% of normal dose) if normal starting dose is 2-3 mg/kg/day, (e.g. 0.6-2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	TPMT	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Possible Intermediate Metabolizer	Dosing recommendations: Start with reduced starting doses (30-80% of normal dose) if normal starting dose is 2-3 mg/kg/day, (e.g. 0.6-2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	TPMT	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Poor Metabolizer	Dosing recommendations: For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines Allow 4-6 weeks to reach steady-state after each dose adjustment. Classification of recommendations: Strong
azathioprine	TPMT	https://pharmgkb.org/guidelineAnnotation/PA166104933	case5	Consider an alternate agent or extreme dose reduction of azathioprine for patients who are TPMT or NUDT15 poor metabolizers.  Start at 30-80% of target dose for patients who are TPMT or NUDT15 intermediate metabolizers.	Indeterminate	Dosing recommendations: None Classification of recommendations: None
capecitabine	DPYD	https://pharmgkb.org/guidelineAnnotation/PA166109594	case1	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD Normal Metabolizer	Dosing recommendations: Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration Classification of recommendations: Strong
capecitabine	DPYD	https://pharmgkb.org/guidelineAnnotation/PA166109594	case1	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD Intermediate Metabolizer	Dosing recommendations: Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available).Patients with the c.[2846A>T];[2846A>T] genotype may require >50% reduction in starting dose. Classification of recommendations: Activity score 1: StrongActivity score 1.5: Moderate
capecitabine	DPYD	https://pharmgkb.org/guidelineAnnotation/PA166109594	case1	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD Poor Metabolizer	Dosing recommendations: Activity score 0.5: Avoid use of 5- fluorouracil or 5-fluorouracil prodrug-based regimens. In the event, based on clinical advice, alternative agents are not considered a suitable therapeutic option, 5-fluorouracil should be administered at a strongly reduced dose with early therapeutic drug monitoring.Activity score 0: Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens. Classification of recommendations: Strong
carbamazepine	HLA-A	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Homozygous for alleles other than HLA-B*15:02 and HLA-A*31:01	Therapeutic Recommendations: Use carbamazepine per standard dosing guidelines. Classification of Recommendation: Strong
carbamazepine	HLA-A	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Heterozygote or homozygous for HLA-A*31:01 and homozygous for HLA-B alleles other than *15:02	Therapeutic Recommendations: A. If patient is carbamazepine-naive and alternative agents are available, do not use carbamazepine.B. If patient is carbamazepine-naive and alternative agents are not available, consider the use of carbamazepine with increased frequency of clinical monitoring. Discontinue therapy at first evidence of a cutaneous adverse reaction.C. The latency period for cutaneous adverse drug reactions is variable depending on phenotype; however, all usually occur within 3 months of regular dosing. Therefore, if patient has previously used carbamazepine for longer than 3 months without incidence of cutaneous adverse reactions, cautiously consider use of carbamazepine. Classification of Recommendation: A. StrongB. OptionalC. Optional
carbamazepine	HLA-A	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Heterozygote or homozygous for HLA-B*15:02 and any HLA-A*31:01 genotype (or HLA-A*31:01 genotype unknown)	Therapeutic Recommendations: A. If patient is carbamazepine-naive, do not use carbamazepine.B. The latency period for drug-induced SJS/TEN is short with continuous dosing and adherance to therapy (~4-28 days), and cases usually occur within 3 months of dosing; therefore, if the patient has previously used carbamazepine consistently for longer than 3 months without incidence of cutaneous adverse reactions, cautiously consider use of carbamazepine in the future. Classification of Recommendation: A. StrongB. Optional
carbamazepine	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Homozygous for alleles other than HLA-B*15:02 and HLA-A*31:01	Therapeutic Recommendations: Use carbamazepine per standard dosing guidelines. Classification of Recommendation: Strong
carbamazepine	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Heterozygote or homozygous for HLA-A*31:01 and homozygous for HLA-B alleles other than *15:02	Therapeutic Recommendations: A. If patient is carbamazepine-naive and alternative agents are available, do not use carbamazepine.B. If patient is carbamazepine-naive and alternative agents are not available, consider the use of carbamazepine with increased frequency of clinical monitoring. Discontinue therapy at first evidence of a cutaneous adverse reaction.C. The latency period for cutaneous adverse drug reactions is variable depending on phenotype; however, all usually occur within 3 months of regular dosing. Therefore, if patient has previously used carbamazepine for longer than 3 months without incidence of cutaneous adverse reactions, cautiously consider use of carbamazepine. Classification of Recommendation: A. StrongB. OptionalC. Optional
carbamazepine	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166105008	case2	The CPIC Dosing Guideline update for carbamazepine recommends an alternative drug for carbamazepine-naive patients carrying at least one copy of either HLA-B*15:02 or HLA-A*31:01 due to the association of those alleles with an increased risk of Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). In addition, HLA-A*31:01 is associated with an increased risk of drug reaction with eosinophilia and systemic symptoms (DRESS) and maculopapular exanthema (MPE).	Heterozygote or homozygous for HLA-B*15:02 and any HLA-A*31:01 genotype (or HLA-A*31:01 genotype unknown)	Therapeutic Recommendations: A. If patient is carbamazepine-naive, do not use carbamazepine.B. The latency period for drug-induced SJS/TEN is short with continuous dosing and adherance to therapy (~4-28 days), and cases usually occur within 3 months of dosing; therefore, if the patient has previously used carbamazepine consistently for longer than 3 months without incidence of cutaneous adverse reactions, cautiously consider use of carbamazepine in the future. Classification of Recommendation: A. StrongB. Optional
celecoxib	CYP2C9	https://pharmgkb.org/guidelineAnnotation/PA166191841	case3	The CPIC Dosing Guideline for celecoxib, flurbiprofen, ibuprofen and lornoxicam recommends initiating therapy with 25-50% of the lowest recommended starting dose for CYP2C9 poor metabolizers and initiating therapy with lowest recommended starting dose for CYP2C9 intermediate metabolizers with activity score of 1. See full guideline for further details and supporting evidence.	CYP2C9 Normal metabolizer	Therapeutic recommendations: Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Classification of recommendations: Strong
celecoxib	CYP2C9	https://pharmgkb.org/guidelineAnnotation/PA166191841	case3	The CPIC Dosing Guideline for celecoxib, flurbiprofen, ibuprofen and lornoxicam recommends initiating therapy with 25-50% of the lowest recommended starting dose for CYP2C9 poor metabolizers and initiating therapy with lowest recommended starting dose for CYP2C9 intermediate metabolizers with activity score of 1. See full guideline for further details and supporting evidence.	CYP2C9 Intermediate metabolizer	Therapeutic recommendations: Initiate therapy with lowest recommended starting dose. Titrate dose upward to clinical effect or maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Classification of recommendations: Moderate
